sample,sandbox_id,session_day,n_pairs,session_start,session_end,mean_ts,median_ts,std_ts,min_ts,max_ts,mean_dt,median_dt,std_dt,min_dt,max_dt,mean_len,median_len,std_len,min_len,max_len,mean_spc_pairs,median_spc_pairs,std_spc_pairs,session_duration_s,total_time_diff,total_cmd_len,avg_time_per_char,mean_spc,median_spc,std_spc,mean_cps,std_cps,prop_dt_lt_0p1,prop_ts_gt_20,prop_ts_gt_100,ts_q95,ts_q99,dt_q95,dt_q99,prop_dt_gt_30,active_time_s,ts_cv,dt_cv,len_q95,len_q99,breakiness_ratio
House of cards,101,2019-09-26,17,2019-09-26 09:23:29.156399+00:00,2019-09-26 09:45:21.121167+00:00,0.7194560067080318,0.5225277383849921,0.5506972700437349,0.0242023785468374,1.6877779559321175,33.76757076470588,24.295517,32.521158158388545,1.777485,123.954759,13.0,12.0,10.828203913853857,3,45,5.00446162309316,1.913774,9.881816450717697,1311.964768,574.0487029999999,221,2.5975054434389135,5.00446162309316,1.913774,9.881816450717697,0.7194560067080318,0.5506972700437349,0.0,0.0,0.0,1.6867117151114728,1.6875647077679885,86.94826219999996,116.55345963999999,0.4117647058823529,574.048703,0.7654356415252195,0.9630884728130902,25.799999999999983,41.16,2.285458988311659
House of cards,112,2019-09-19,41,2019-09-19 10:29:48.517813+00:00,2019-09-19 11:30:39.622295+00:00,0.7921564264902456,0.3643422412408872,0.940175346189805,0.05626395310872126,3.5919232566255097,47.18159624390244,45.444534,44.958742169827175,1.960646,187.179477,14.536585365853659,11.0,10.094794601614264,3,44,3.3011913104824213,2.744672142857143,3.2244015849509116,3651.104482,1934.445446,596,3.2457138355704696,3.3011913104824213,2.744672142857143,3.2244015849509116,0.7921564264902456,0.940175346189805,0.0,0.0,0.0,2.8990019240549727,3.5832546922013804,119.736511,173.23246500000005,0.5365853658536586,1934.445446,1.1868556698521995,0.9528872642929598,34.0,40.80000000000001,1.8874166183128436
House of cards,112,2019-09-22,9,2019-09-22 10:06:30.648232+00:00,2019-09-22 11:05:25.796859+00:00,1.203633881276125,0.7929450780037312,1.0628772806047297,0.16216480413361978,2.848679836303462,33.252911000000005,29.005792,31.052217683340942,5.265597,106.072565,19.11111111111111,23.0,6.450667493454543,5,23,2.140157220151829,1.2611213913043477,2.104578977197844,3535.148627,299.276199,172,1.7399779011627907,2.140157220151829,1.2611213913043477,2.104578977197844,1.203633881276125,1.0628772806047297,0.0,0.0,0.0,2.7625053237793926,2.8314449337986485,82.26654779999998,101.31136156,0.4444444444444444,299.27619899999996,0.8830569636988272,0.9338195288629301,23.0,23.0,11.81232800607709
House of cards,113,2019-09-19,19,2019-09-19 10:31:30.503032+00:00,2019-09-19 11:14:07.573895+00:00,1.0641241177013414,0.487821047531795,1.57177107329483,0.03751636839152922,6.299182838506274,53.63292705263158,40.998641,53.11743541515676,1.578051,159.930192,16.736842105263158,19.0,10.592670973959924,3,44,4.3025796583699405,2.04993205,6.487993264332501,2557.070863,1019.025614,318,3.2044830628930816,4.3025796583699405,2.04993205,6.487993264332501,1.0641241177013414,1.57177107329483,0.0,0.0,0.0,4.31020550982257,5.901387372769535,148.88613809999998,157.72138122,0.631578947368421,1019.025614,1.4770561508276665,0.9903885231367487,32.29999999999997,41.660000000000004,2.509329331735522
House of cards,115,2019-09-19,19,2019-09-19 10:35:24.276798+00:00,2019-09-19 11:39:47.998453+00:00,0.3062317614724096,0.1622776532449358,0.4131946844418944,0.02420973065916877,1.7797992701933092,106.4931924736842,55.843379,105.57993653548249,8.808653,413.057053,13.526315789473685,12.0,9.605371304365951,3,44,10.033857590263684,6.162277923076923,11.431055753903163,3863.721655,2023.370657,257,7.873037575875486,10.033857590263684,6.162277923076923,11.431055753903163,0.3062317614724096,0.4131946844418944,0.0,0.0,0.0,1.0019789284546132,1.6242352018455706,273.6038448999997,385.16641138000006,0.6842105263157895,2023.370657,1.3492874888456723,0.9914242787075107,25.999999999999957,40.400000000000006,1.9095471418611167
House of cards,116,2019-09-19,32,2019-09-19 10:40:20.613699+00:00,2019-09-19 11:14:36.466324+00:00,0.7547380806159888,0.45035260742148064,0.7173109088876854,0.014174351200611723,2.5999288052828824,64.24539453125,29.737357000000003,72.34943449305152,1.288221,219.147936,14.34375,12.0,10.54211025884654,3,54,6.326626284458442,2.2205038620689654,12.900178823070526,2055.852625,2055.852625,459,4.478981753812636,6.326626284458442,2.2205038620689654,12.900178823070526,0.7547380806159888,0.7173109088876854,0.0,0.0,0.0,2.111118802836873,2.5158766942741355,201.23700035,216.82354453,0.5,2055.852625,0.9504103838277818,1.1261419596055182,29.0,46.25000000000003,1.0
House of cards,130,2019-09-19,29,2019-09-19 10:30:36.203948+00:00,2019-09-19 11:13:25.038389+00:00,0.6778236920031728,0.3847069744681522,0.7690651542697347,0.019799533093350453,3.5478092425752483,54.59475562068966,37.13517,55.78792692828689,1.261143,202.024966,13.172413793103448,12.0,9.231425232468716,2,35,5.622774077120817,2.599381,9.301717153346171,2568.834441,1583.2479130000002,382,4.1446280445026185,5.622774077120817,2.599381,9.301717153346171,0.6778236920031728,0.7690651542697347,0.0,0.0,0.0,1.726679880188403,3.0641788419109277,147.8860928,187.19580871999995,0.5172413793103449,1583.2479130000002,1.1346094321325888,1.0218550535492288,30.39999999999998,34.72,1.6225092860741386
House of cards,131,2019-09-19,35,2019-09-19 10:39:54.164014+00:00,2019-09-19 11:26:15.679026+00:00,0.9986453211864255,0.6505206572184179,1.0720364274193794,0.03396980966286777,3.6833271739917817,54.71593408571429,26.064989,65.25585188771608,2.443443,240.244096,15.2,17.0,7.148837832329194,4,30,4.238782295339938,1.5372302,5.956970877162758,2781.515012,1915.057693,532,3.5997325056390976,4.238782295339938,1.5372302,5.956970877162758,0.9986453211864255,1.0720364274193794,0.0,0.0,0.0,3.410228797969036,3.6019474199218915,178.73418219999976,238.63220257999998,0.45714285714285713,1915.0576930000002,1.0734906624764062,1.1926297700682704,25.299999999999997,28.639999999999986,1.4524444992791137
House of cards,137,2019-09-19,24,2019-09-19 10:31:51.195656+00:00,2019-09-19 11:06:55.925223+00:00,0.7146648561309129,0.47059792381276466,0.7964468126688248,0.04652234470775043,3.3348667544724733,74.99521183333333,42.8734115,78.88174692082087,3.646006,267.807005,18.166666666666668,15.5,13.53149841205187,3,53,5.354788601063926,2.131655625,6.0872516811642186,2104.729567,1799.885084,436,4.128176798165137,5.354788601063926,2.131655625,6.0872516811642186,0.7146648561309129,0.7964468126688248,0.0,0.0,0.0,1.8904151470417785,3.010239956054135,239.89609364999993,262.39999410999997,0.5833333333333334,1799.885084,1.1144339977491926,1.0518237763782152,50.79999999999998,52.769999999999996,1.1693688589954445
House of cards,144,2019-09-19,52,2019-09-19 10:29:29.895732+00:00,2019-09-19 11:22:02.888105+00:00,1.3040108492801548,1.0827168165987964,0.9244597552539049,0.06811363643175,3.3727560331378097,24.534761134615387,13.821820500000001,28.707543186083154,2.075454,117.309079,14.807692307692308,12.0,9.67316575618377,3,45,1.9924593045272956,0.9242761754385964,2.9591189928311734,3152.992373,1275.807579,770,1.6568929597402597,1.9924593045272956,0.9242761754385964,2.9591189928311734,1.3040108492801548,0.9244597552539049,0.0,0.0,0.0,2.7788060166515987,3.107705537483322,81.54676434999996,116.39991271,0.23076923076923078,1275.807579,0.7089356317581474,1.1700763267501517,38.0,42.96000000000001,2.4713698404828177
