sample,sandbox_id,session_day,prev_file_relpath,cur_file_relpath,time_diff,cmd_length,typing_speed,prev_timestamp,cur_timestamp,prev_cmd,cur_cmd,file_relpath,upper_fence,is_tukey_outlier
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,24.295517,11,0.452758424527455,2019-09-26 09:23:29.156399+00:00,2019-09-26 09:23:53.451916+00:00,nmap -sV,nmap --help,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,46.831211,19,0.40571233573268045,2019-09-26 09:23:53.451916+00:00,2019-09-26 09:24:40.283127+00:00,nmap --help,nmap -sV 172.18.1.5,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,57.175729,20,0.34979877563082756,2019-09-26 09:36:58.199192+00:00,2019-09-26 09:37:55.374921+00:00,search libssh,set RHOST 172.18.1.5,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,9.494495,12,1.2638902858972487,2019-09-26 09:37:55.374921+00:00,2019-09-26 09:38:04.869416+00:00,set RHOST 172.18.1.5,set RPORT 23,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,58.366101,45,0.7709954790367101,2019-09-26 09:38:04.869416+00:00,2019-09-26 09:39:03.235517+00:00,set RPORT 23,use auxiliary/scanner/ssh/libssh_auth_bypass ,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,3.519992,3,0.8522746642606006,2019-09-26 09:39:03.235517+00:00,2019-09-26 09:39:06.755509+00:00,use auxiliary/scanner/ssh/libssh_auth_bypass ,run,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,12.871254,20,1.5538501532173943,2019-09-26 09:39:06.755509+00:00,2019-09-26 09:39:19.626763+00:00,run,set RHOST 172.18.1.5,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,7.115559,12,1.6864451549063115,2019-09-26 09:39:19.626763+00:00,2019-09-26 09:39:26.742322+00:00,set RHOST 172.18.1.5,set RPORT 23,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,1.777485,3,1.6877779559321175,2019-09-26 09:39:26.742322+00:00,2019-09-26 09:39:28.519807+00:00,set RPORT 23,run,House of cards/sandbox-101-useractions.json,127.65297575000001,False
House of cards,101,2019-09-26,House of cards/sandbox-101-useractions.json,House of cards/sandbox-101-useractions.json,30.664779,4,0.13044281193091267,2019-09-26 09:39:28.519807+00:00,2019-09-26 09:39:59.184586+00:00,run,help,House of cards/sandbox-101-useractions.json,127.65297575000001,False
