Sample,Sandbox ID,Rows,Average TS,Min TS,Max TS,Median TS,Std TS,Average Time Between Commands,Min Time Between Commands,Max Time Between Commands,Median Time Between Commands,Std Time Between Commands,Average Command Length,Min Command Length,Max Command Length,Median Command Length,Std Command Length,Average Time Per Character
House of cards,101,17,0.7194560067080318,0.0242023785468374,1.6877779559321175,0.5225277383849921,0.5506972700437349,33.76757076470589,1.777485,123.954759,24.295517,32.521158158388545,13.0,3,45,12.0,10.828203913853857,2.5975054434389144
House of cards,112,48,0.8924936016226029,0.05626395310872126,3.5919232566255097,0.4083576612304446,0.9764914744000585,39.463129604166674,1.960646,119.736511,29.9193115,34.76368610409342,14.333333333333334,3,34,12.0,8.336878678455792,2.753241600290698
House of cards,113,16,1.2470698383816394,0.14727436046787204,6.299182838506274,0.6346325594603981,1.654653924485027,35.8358626875,1.578051,129.010915,32.9749995,35.07151056214794,17.4375,3,44,19.0,10.905464990850534,2.0551032365591397
House of cards,115,13,0.4371532128820098,0.026773435318941136,1.7797992701933092,0.3405742058405525,0.45678834739456126,41.678186999999994,8.808653,112.051366,36.140902,29.037395975730863,12.846153846153847,3,44,12.0,11.02154068061081,3.2444097664670655
House of cards,116,25,0.9442244107395696,0.09153126032046742,2.5999288052828824,0.6789029109999019,0.7022407742237936,30.009775799999996,1.288221,109.221013,14.942466,31.404088249621807,14.48,3,54,12.0,11.431389533502331,2.0724983287292815
House of cards,130,25,0.8522036914704256,0.10771460047173609,3.5478092425752483,0.4830509743608492,0.8298788707762887,32.742195880000004,1.261143,120.069255,27.143299,33.00125233813077,12.24,2,35,12.0,9.31522051984457,2.675016003267974
House of cards,131,30,1.1499601935496178,0.07063785844903764,3.6833271739917817,0.7555219936802582,1.0869246485461062,32.902855966666664,2.443443,124.058807,20.0083415,35.07963377652358,15.1,4,30,16.0,7.461857030580764,2.1789970838852097
House of cards,137,20,0.8456948511041433,0.0585945906950454,3.3348667544724733,0.7042749968245792,0.8122763373866457,44.12754675,3.646006,124.597785,29.535825000000003,39.1744652002724,18.7,3,53,15.5,14.675794607734911,2.35976185828877
House of cards,144,52,1.3040108492801548,0.06811363643175,3.3727560331378097,1.0827168165987964,0.9244597552539049,24.534761134615387,2.075454,117.309079,13.821820500000001,28.707543186083157,14.807692307692308,3,45,12.0,9.67316575618377,1.6568929597402597
House of cards,148,19,1.3313041507290297,0.11689164450810208,3.5559759509346436,1.014973108851355,1.011407248954473,28.29527452631579,2.249734,128.323971,17.73446,34.58193556544682,17.263157894736842,3,54,16.0,10.810705112491032,1.639055536585366
House of cards,149,36,1.10785733418283,0.029257332886027724,4.458408720971706,0.6471366942004155,1.1260928665271681,32.35881113888889,2.319226,113.487063,19.836560499999997,29.506149329537923,18.02777777777778,1,49,14.5,12.97356897940933,1.7949417580893683
House of cards,151,21,1.1588556704969424,0.08307449299280893,5.714213711006718,0.728953727703071,1.3153676771681917,35.723098,2.508795,104.145215,25.269259,31.572319993820933,19.952380952380953,3,46,19.0,14.179126173626466,1.790417799522673
House of cards,152,67,0.9910044008563261,0.03990563076530989,3.5861452148540285,0.7570725592304549,0.848040846943931,32.12738546268656,3.047306,126.763857,13.93662,34.983172504363495,13.761194029850746,3,45,12.0,9.283562456623233,2.334636470715835
House of cards,156,25,0.8227515811120527,0.08796634671473734,3.089061576791824,0.5111160587145595,0.9191823534586309,41.24768976,2.579216,124.751609,34.153355,41.459829897747994,10.92,3,22,11.0,6.330613451054066,3.777260967032967
House of cards,396,105,28.480780721427138,0.060123530105572566,1303.4410844629822,1.5911666911529543,162.2912532449503,14.986869323809524,0.015344,83.958561,8.334658,18.427366861097045,16.733333333333334,3,95,13.0,15.660009496673284,0.895629640865111
House of cards,397,97,74.47716033703449,0.05649115048238829,2245.7779374775423,1.2627879023122994,360.05309909525494,18.711784824742267,0.021123,109.02932,10.542025,22.250297636504822,16.927835051546392,3,62,12.0,14.692151690812409,1.1053855834348356
House of cards,398,76,16.397417372896285,0.058968599103040434,434.71173178286153,2.1057625757850684,59.44594523206668,18.246093618421057,0.036806,112.96563,6.5041785,25.27196529273884,19.355263157894736,3,163,19.0,19.30713439629225,0.9426941638341266
